Date,RSI_2,RSI_5,RSI_14,RSI_20
5/12/1993,64.30426763,58.62743411,53.45279804,52.29516593
5/13/1993,85.71067809,72.14928611,59.6496321,56.90289266
5/14/1993,67.10001302,64.36569667,57.13673111,55.17746851
5/17/1993,54.60299702,58.99856556,55.38019557,53.97000256
5/18/1993,57.352454,59.92396998,55.71680142,54.21278905
5/19/1993,62.9606492,61.65487286,56.30541942,54.63155896
5/20/1993,39.07008575,53.1201362,53.92470524,53.05218298
5/21/1993,69.11988373,63.48919894,57.23681347,55.36844369
5/24/1993,43.96149995,52.67391361,54.01834763,53.23506897
5/25/1993,40.70892005,51.14395021,53.54624859,52.92174353
5/26/1993,12.94144806,30.55439036,45.3384217,47.27352063
5/27/1993,27.08939476,36.3830854,46.98957848,48.37082438
5/28/1993,48.28925761,45.59818834,49.7260529,50.20097679
6/1/1993,58.15455293,50.27069074,51.18544166,51.18313073
6/2/1993,45.72404611,45.78749307,49.71646439,50.19562972
6/3/1993,50.71421977,47.55971053,50.20003349,50.51221858
6/4/1993,19.78710588,32.92271194,44.9508524,46.95997301
6/7/1993,69.47423562,59.52272314,54.10104134,53.1197152
6/8/1993,79.8442503,67.96410987,58.2209767,56.0848977
6/9/1993,50.11467089,52.63059179,52.35878334,52.05983135
6/10/1993,34.1979099,42.94229513,48.03996158,48.98382079
6/11/1993,23.75245315,35.66916639,44.4165191,46.33056076
6/14/1993,18.41033807,31.60140055,42.25389499,44.71973694
6/15/1993,14.14167255,28.15408548,40.36959745,43.30522883
6/16/1993,12.59555896,26.91076178,39.70011371,42.8034908
6/17/1993,9.786819251,24.62689031,38.50287688,41.91122472
6/18/1993,53.10761,41.17348809,43.54126249,45.2226446
6/21/1993,53.68282697,41.43946904,43.62658158,45.27911703
6/22/1993,25.5145666,31.26223156,39.7636602,42.51761828
6/23/1993,50.72406244,42.31291041,43.26240441,44.81468233
6/24/1993,61.30250268,47.74149313,45.10202333,46.03396073
6/25/1993,24.19761007,31.04659536,38.70006854,41.45443656
6/28/1993,21.46876248,29.32386143,37.89326124,40.85695386
6/29/1993,35.49751306,34.89736765,39.62709654,41.98576849
6/30/1993,33.97997492,34.35551385,39.43052815,41.84599946
7/1/1993,56.97288455,43.17826346,41.99936292,43.49198837
